"","Division_ID","Division","G9","G10","G11","G12","PostGraduate","High_Stu_Total","Stu_disadvantaged","Stu_disabled","Dropout","Dropout_rate","GEO_ID","Population","Male(%)","Female(%)","Median_age","Hispanic+Latino(%)","White(%)","Black(%)","Amr_Indian+Alaska(%)","Asian(%)","Hawaiian(%)","Other_race(%)","More_races(%)","Housing_units","Household_Median_Income (dollar)","<9th_grade(%)","High_school_or_higher(%)","Bachelor_or_higher(%)","Population_(16yr<)","In_labor_force(%)","Household_with_children (6~ 17yr)","All_parents_in_labor_force_with_child(6~17yr)(%)","Workers (16yr<)","Mean_Commuting_time (minutes)","With_health_insurance(%)","Private_health_insurance(%)","With_public_coverage(%)","Num_Households","computing_devices>=1(%)","Internet_access(%)","FID","STATEFP","COUNTYFP","COUNTYNS","GEOID","NAME","LSAD","CLASSFP","MTFCC","CSAFP","CBSAFP","METDIVFP","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","SHAPE_Leng","SHAPE_Area","num_service.x","num_service_per_unit_area","num_service.y"
"1",1,"Accomack County",430,423,345,343,9,1550,566,207,34,1.46,"0500000US51001",33388,0.49,0.51,47,9.1,59.7,28.5,0.2,0.8,0,0.1,1.6,21661,50601,5.94,82,21,"27,325","55.4","4,297","78.1","14,104","22.1","87.7","59.6","46.1",14152,84.03,77.46,36,"51","001","01480091","51001","Accomack","06","H1","G4020",NA,NA,NA,"A",1164189409,2228793885,"+37.7659435","-075.7578073",3.05058423828007,5438546350.18,14,0.412616207590794,14
"2",2,"Albemarle County",1036,1129,1061,1075,NA,4301,1041,550,53,0.83,"0500000US51003",111438,0.48,0.52,39,5.9,76.4,8.7,0.3,5.5,0.1,0.2,3,46661,90568,2.21,93,59,"91,542","62.2","15,018","78.2","53,991","21.9","94.3","82.2","26.7",43066,95.13,89.55,122,"51","003","01675170","51003","Albemarle","06","H1","G4020",NA,"16820",NA,"A",1866599957,14035664,"+38.0241841","-078.5535056",2.35713026648397,3035449598.37,10,0.531735119731411,10
"3",101,"Alexandria city",1139,1132,911,991,1,4174,2804,447,100,1.55,"0500000US51510",158185,0.48,0.52,37,16.5,51.5,21.1,0.1,6.4,0,0.3,4.1,80040,105450,4.13,93,65,"131,596","78.3","16,039","70.1","98,482","30.9","90.8","78.7","22.3",74224,96.66,93.2,28,"51","510","01498415","51510","Alexandria","25","C7","G4020","548","47900","47894","F",38919750,1140359,"+38.8183429","-077.0820263",0.355414546421474,66086670.3158,20,49.9249844681524,20
"4",3,"Alleghany County",157,167,133,162,NA,619,219,85,13,1.45,"0500000US51005",15266,0.49,0.51,48,1.6,91.2,5.5,0,0,0,0.3,1.4,7948,49705,3.69,89,15,"12,720","51.8","1,972","63.5","6,270","24.1","93.3","63.9","43.8",6405,85.45,76.71,15,"51","005","01673675","51005","Alleghany","06","H1","G4020",NA,NA,NA,"A",1153727346,8535509,"+37.7879048","-080.0086690",2.11475435672632,1864085716.27,2,0.172078401556273,2
"5",4,"Amelia County",149,129,118,100,NA,496,201,66,7,0.92,"0500000US51007",13220,0.49,0.51,45,3.3,73.3,22,0,0,0,0,1.3,5675,57420,6.6,85,18,"10,745","62.7","2,022","60.6","6,187","38.1","92.2","72.4","35",5190,85.32,77.59,102,"51","007","01497770","51007","Amelia","06","H1","G4020",NA,"40060",NA,"A",920142628,8424829,"+37.3319271","-077.9774619",1.83741668591067,1471482716.27,1,0.10769276672099,1
"6",5,"Amherst County",324,313,266,292,NA,1195,654,154,17,0.91,"0500000US51009",31381,0.48,0.52,45,2.6,74.2,18.5,0.8,0.7,0.1,0.8,2.3,14229,60876,4.04,88,22,"25,876","61.3","3,813","83.4","14,718","28.3","91.1","69.5","35.6",12538,87.33,78.27,33,"51","009","01480095","51009","Amherst","06","H1","G4020",NA,"31340",NA,"A",1227484488,12730184,"+37.6303621","-079.1478477",1.89897898004679,1979410317.94,9,0.725680728243693,9
"7",6,"Appomattox County",178,153,182,166,NA,679,270,68,6,0.58,"0500000US51011",16039,0.48,0.52,43,2,76.5,18.1,0,0.2,0,1.1,2,7261,55268,4.08,89,20,"12,956","60.5","2,286","67.1","7,386","25.3","91","66.2","41.2",6187,88.35,76.84,71,"51","011","01497238","51011","Appomattox","06","H1","G4020",NA,"31340",NA,"A",863744555,3204506,"+37.3707253","-078.8109404",1.37481932089471,1375154600.65,2,0.230694053673272,2
"8",7,"Arlington County",1884,2030,1861,1907,NA,7682,1460,1353,99,0.84,"0500000US51013",235764,0.5,0.5,35,15.5,60.2,9.1,0.2,10.2,0,0.5,4.3,117546,128145,3.36,95,76,"196,986","78.6","26,725","76","148,211","28.4","94","87.7","15.6",109528,96.65,93.56,77,"51","013","01480097","51013","Arlington","06","H1","G4020","548","47900","47894","A",67273576,244125,"+38.8783374","-077.1007034",0.421097834665255,111570308.562,20,29.6218762969782,20
"9",8,"Augusta County",834,829,762,822,NA,3247,1200,337,32,0.66,"0500000US51015",76948,0.51,0.49,45,3.2,89.6,4.3,0.2,0.6,0.1,0.3,1.7,32502,69082,3.66,89,23,"64,039","59.4","9,598","78.9","36,339","25","91.9","73","35.4",29880,89.8,82.18,74,"51","015","01480098","51015","Augusta","06","H1","G4020",NA,"44420",NA,"A",2504523495,9987921,"+38.1678073","-079.1466816",3.17544189847327,4074209341.58,8,0.318151940838449,8
"10",9,"Bath County",37,42,37,35,NA,151,70,0,0,0,"0500000US51017",4243,0.51,0.49,51,0.4,95.2,3.7,0.4,0.3,0,0,0,3349,55807,7.5,85,19,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",1823,83.43,75.75,109,"51","017","01673638","51017","Bath","06","H1","G4020",NA,NA,NA,"A",1370512649,14049859,"+38.0689876","-079.7328980",1.87002890311561,2236921617.75,NA,NA,NA
"11",10,"Bedford County",781,747,717,804,NA,3049,1041,346,44,0.98,"0500000US51019",79183,0.49,0.51,47,2.5,86.8,6.2,0.1,1.2,0,0.4,2.9,37207,70870,2.43,92,31,"65,418","58.7","10,251","71","36,552","26.4","93.5","76.6","34.5",32269,92.08,83.83,8,"51","019","01674818","51019","Bedford","06","H1","G4020",NA,"31340",NA,"A",1950315044,42043812,"+37.3124079","-079.5279466",2.93189842249232,3155512495.47,3,0.150575278492215,3
"12",11,"Bland County",43,60,54,64,NA,221,108,20,4,1.19,"0500000US51021",6278,0.57,0.43,46,0.9,93.5,4.5,0,0.1,0,0,1,3204,54556,3.14,89,13,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",2260,78.05,63.36,113,"51","021","01494613","51021","Bland","06","H1","G4020",NA,NA,NA,"A",926503446,2598048,"+37.1306124","-081.1258532",1.86143025661662,1464524913.97,4,0.430523412535788,4
"13",12,"Botetourt County",372,388,392,381,NA,1533,314,159,12,0.54,"0500000US51023",33542,0.5,0.5,47,1.9,91.8,2.6,0.2,0.5,0.2,0,2.7,14867,72941,2.63,94,27,"27,915","60.6","4,561","75.5","15,842","26.2","94.5","77.6","32.6",13076,88.48,83.79,123,"51","023","01674418","51023","Botetourt","06","H1","G4020",NA,"40220",NA,"A",1401706902,12195520,"+37.5531930","-079.8053176",1.9501661281348,2253760580,NA,NA,NA
"14",102,"Bristol city",170,164,163,139,NA,636,402,98,12,1.25,"0500000US51520",16996,0.47,0.53,43,2.6,87.8,6,0,0.3,0,0,3.4,8692,43879,2.57,87,23,"13,855","58","2,208","70.1","7,611","18.1","86.8","55.9","44",7347,85.31,76.59,64,"51","520","01498416","51520","Bristol","25","C7","G4020","304","28700",NA,"F",33703514,363160,"+36.6169541","-082.1575641",0.510469895546825,52984174.1346,10,29.3541800747629,10
"15",13,"Brunswick County",114,121,123,98,NA,456,324,71,15,2.22,"0500000US51025",16044,0.54,0.46,43,1.6,40.7,55,0.2,0,0,0,2.5,7944,49597,5.63,78,16,"13,723","49.6","1,669","74.5","6,124","31.7","94.3","63.5","46.5",5905,84.81,78.14,48,"51","025","01493961","51025","Brunswick","06","H1","G4020",NA,NA,NA,"A",1466381608,8317961,"+36.7645309","-077.8609162",1.62014276762034,2302318434.95,3,0.203431264229991,3
"16",14,"Buchanan County",210,200,203,209,NA,822,411,129,4,0.33,"0500000US51027",20615,0.5,0.5,48,0.9,94.4,2.3,0.8,0.1,0,0.2,1.2,10475,37093,10.53,74,11,"17,691","37.6","2,156","57.3","6,155","27.7","91.7","46.9","58.9",7440,79.74,70.59,131,"51","027","01497431","51027","Buchanan","06","H1","G4020",NA,NA,NA,"A",1302149038,2798059,"+37.2681198","-082.0381508",2.27479676488309,2064149103.82,6,0.459788718293094,6
"17",15,"Buckingham County",160,151,133,129,1,574,288,86,5,0.54,"0500000US51029",16832,0.55,0.45,43,2.5,61.2,32.6,0.5,0,0,0.2,2.9,7178,49841,8.54,81,12,"14,074","49","1,806","72.4","6,189","39.3","88.2","58.2","43.5",5724,80.96,66.02,38,"51","029","01501502","51029","Buckingham","06","H1","G4020",NA,NA,NA,"A",1501304595,10098864,"+37.5739280","-078.5291687",1.98031449549482,2410145080.38,1,0.0661636690653564,1
"18",103,"Buena Vista city",65,76,64,72,NA,277,123,17,8,1.92,"0500000US51530",6649,0.46,0.54,36,1.7,87.3,7.5,0.1,0.7,0.3,0.5,1.8,2941,42156,5.74,80,19,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",2581,83.84,84.15,26,"51","530","01498417","51530","Buena Vista","25","C7","G4020",NA,NA,NA,"F",17362253,223855,"+37.7316634","-079.3563746",0.275642817249628,28162997.4464,3,17.0589197349764,3
"19",16,"Campbell County",604,564,615,572,NA,2355,1027,322,25,0.69,"0500000US51031",55656,0.49,0.51,43,2.9,78.3,14.2,0.2,0.9,0,0.5,2.9,25159,53918,3.78,89,24,"45,702","59.8","7,215","71.1","25,585","24","92","68.7","36.9",22243,88.73,78.52,66,"51","031","01674917","51031","Campbell","06","H1","G4020",NA,"31340",NA,"A",1305008849,8962132,"+37.2101510","-079.0954285",2.07980312242733,2075087711.48,3,0.228315541779192,3
"20",17,"Caroline County",326,322,271,267,NA,1186,533,168,16,0.89,"0500000US51033",30861,0.5,0.5,40,5.5,63.1,25.5,0.4,1,0,0.7,3.9,12373,76528,3.43,89,22,"24,587","67.5","4,203","68","15,635","34.3","93.2","75.5","32.4",11000,93.39,82.75,129,"51","033","01480107","51033","Caroline","06","H1","G4020",NA,"40060",NA,"A",1366252496,24232983,"+38.0303193","-077.3523482",2.3650515136781,2244553094.09,3,0.21575198324484,3
"21",18,"Carroll County",269,289,250,257,NA,1065,640,177,7,0.43,"0500000US51035",29123,0.51,0.49,48,4,93.8,0.4,0.1,0,0,0,1.7,16616,45220,8.67,82,15,"24,494","53.9","3,318","71.5","12,226","26.9","90.2","60.6","45.8",12127,81.83,75.71,114,"51","035","01480108","51035","Carroll","06","H1","G4020",NA,NA,NA,"A",1229441069,7648324,"+36.7324256","-080.7280430",1.79734758012464,1929692705.68,4,0.323339606712606,4
"22",19,"Charles city County",47,59,36,47,NA,189,88,0,4,1.54,"0500000US51036",6817,0.5,0.5,51,2.1,43.1,44.2,5.9,0.3,0,0.1,4.3,3261,59543,3.98,83,16,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",2932,82.81,67.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
