"","FID","STATEFP","COUNTYFP","COUNTYNS","GEOID","NAME","NAMELSAD","LSAD","CLASSFP","MTFCC","CSAFP","CBSAFP","METDIVFP","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","SHAPE_Leng","SHAPE_Area","num_service","num_service_per_unit_area"
"1",1,"51","640","01498426","51640","Galax","Galax city","25","C7","G4020",NA,NA,NA,"F",21340448,103781,"+36.6656397","-080.9143083",0.323267987768102,33393564.4539,2,9.32651648912688
"2",2,"51","760","01789073","51760","Richmond","Richmond city","25","C7","G4020",NA,"40060",NA,"F",154894698,6880310,"+37.5313990","-077.4760085",0.869075287070965,257677852.291,75,46.360690353626
"3",3,"51","670","01498428","51670","Hopewell","Hopewell city","25","C7","G4020",NA,"40060",NA,"F",26620502,1357033,"+37.2910098","-077.2989443",0.308512128673276,44283140.3805,4,14.2971848045992
"4",4,"51","131","01480151","51131","Northampton","Northampton County","06","H1","G4020",NA,NA,NA,"A",548072996,1511612295,"+37.3026286","-075.9238683",2.02368268430523,3260948673.14,6,0.291304055465326
"5",5,"51","187","01674058","51187","Warren","Warren County","06","H1","G4020","548","47900","47894","A",552518384,8483501,"+38.9081874","-078.2071314",1.25316786164051,927817057.821,6,1.06951509050917
"6",6,"51","063","01494354","51063","Floyd","Floyd County","06","H1","G4020",NA,NA,NA,"A",985283901,2257553,"+36.9314381","-080.3503087",1.9072009770868,1548436147.64,3,0.303784710040529
"7",7,"51","790","01789075","51790","Staunton","Staunton city","25","C7","G4020",NA,"44420",NA,"F",51735535,155185,"+38.1580558","-079.0615011",0.318451873755415,84064336.4639,2,3.85425428569671
"8",8,"51","019","01674818","51019","Bedford","Bedford County","06","H1","G4020",NA,"31340",NA,"A",1950315044,42043812,"+37.3124079","-079.5279466",2.93189842249232,3155512495.47,3,0.150575278492215
"9",9,"51","570","01498420","51570","Colonial Heights","Colonial Heights city","25","C7","G4020",NA,"40060",NA,"F",19476222,757308,"+37.2616846","-077.3968043",0.288391935110563,32003635.7735,3,14.8268778913813
"10",10,"51","735","01498436","51735","Poquoson","Poquoson city","25","C7","G4020",NA,"47260",NA,"F",39669848,163451687,"+37.1283599","-076.3035337",0.732407516975375,320302876.117,NA,NA
"11",11,"51","590","01498421","51590","Danville","Danville city","25","C7","G4020",NA,"19260",NA,"F",111198690,2627089,"+36.5833337","-079.4080707",0.724148744585793,176875166.214,15,13.1780312110679
"12",12,"51","540","01789068","51540","Charlottesville","Charlottesville city","25","C7","G4020",NA,"16820",NA,"F",26517351,52974,"+38.0376579","-078.4853806",0.384480356295864,42902513.9193,18,67.7447635023928
