Clinic,street1,street2,city,state,zip,county,phone,website,lat,lon,treatment
48th Street Physicians,4714 Marshall Ave,NA,Newport News,VA,23607,,757-380-8709,,36.99787291,-76.42444569,HC
5th Street Community Health Center,800 5th St STE A,NA,Lynchburg,VA,24504,,434-200-3366,http://www.communityaccessnetwork.org,37.41498663,-79.15083555,HC
"AaronEGoldberg, ",1250 East Marshall Street,"Main Hospital, 8th Floor",Richmond,VA,23220,,804-628-4530,,37.54,-77.4297,BUPREN
AddictionAlliesLLC,2137 Lakeside Drive,Suite 103,Lynchburg,VA,24501,Lynchburg City,434-400-9668,http://www.addictionallies.com,37.3989393,-79.2073548,SU
AddictionAlliesLLC,631 Berkmar Circle,NA,Charlottesville,VA,22901,Albemarle,434-400-9668,http://www.addictionallies.com,38.0858606,-78.4790842,SU
"Addiction Recovery Systems, LLC",103 S. Pantops Drive,NA,Charlottesville,VA,22911,,434 220-0080,,38.031712,-78.4538564,OTP
"AdrianScottThacker,NP",198 Ross Carter Blvd.,NA,Duffield,VA,24293,WYTHE,276-227-0206,,36.7154,-82.8139,BUPREN
"AFUABIYAHAddo,NP",12163 Formby Street,NA,BRISTOW,VA,20136,PRINCE WILLIAM,804-503-7874,,38.7664,-77.5572,BUPREN
"AlbenGGoldstein,MD",611 S Carlin Spring Road,Suite 202,ARLINGTON,VA,22204,ARLINGTON,703-379-5828,,38.8605,-77.128,BUPREN
"Alessandro Dellai,MD",1901 Tate Springs Road,LGH Emergency Department,Lynchburg,VA,24501,,434-200-7387,,37.4159,-79.1711,BUPREN
"AlexandraMalooleyPartridge,NP",1954 Opitz Boulevard,#007,Woodbridge,VA,22191,PRINCE WILLIAM,703-492-2924,,38.6352,-77.2747,BUPREN
AlexandriaCommunityServicesBoard,4850 Mark Center Drive,NA,Alexandria,VA,22311,Alexandria City,703-746-3400,http://www.alexandriava.gov/DCHS,38.8299012,-77.1191228,MH
"AlfredaWCurtis,NP",6160 Kempsville Circle,Suite 325 A,Norfolk,VA,23502,,757-354-2885,,36.8514,-76.1927,BUPREN
"AliciaNicoleRose,NP",19056 Greenbush Road,NA,Parksley,VA,23421,ACCOMACK,757-665-1260,,36.8618,-76.1302,BUPREN
"AliciaScottDevine,MD",Carilion Stonewall Jackson Hospital,1 Health Circle,Lexington,VA,24450,,757-439-9770,,37.7789,-79.4411,BUPREN
AlleghanyHighlandsCommunityServices,311 South Monroe Avenue,NA,Covington,VA,24426,Covington City,540-965-2100 x100,http://www.ahcsb.org,37.7889194,-79.9893907,SU
"AllisonHeatherStanley,NP",23743 Dickenson Highway,NA,Haysi,VA,24256,TAZEWELL,276-865-7811,,37.2058,-82.2904,BUPREN
"AlvaroMarcellRoberts,NP",1201 Broadrock Boulevard,NA,Richmond,VA,23249,RICHMOND CITY,804-675-5000,,37.498,-77.4668,BUPREN
