Division_ID,Division,G9,G10,G11,G12,PostGraduate,High_Stu_Total,Stu_disadvantaged,Stu_disabled,Dropout,Dropout_rate
1,Accomack County ,430,423,345,343,9,1550,566,207,34,1.46
2,Albemarle County ,1036,1129,1061,1075,,4301,1041,550,53,0.83
101,Alexandria city ,1139,1132,911,991,1,4174,2804,447,100,1.55
3,Alleghany County ,157,167,133,162,,619,219,85,13,1.45
4,Amelia County ,149,129,118,100,,496,201,66,7,0.92
5,Amherst County ,324,313,266,292,,1195,654,154,17,0.91
6,Appomattox County ,178,153,182,166,,679,270,68,6,0.58
7,Arlington County ,1884,2030,1861,1907,,7682,1460,1353,99,0.84
8,Augusta County ,834,829,762,822,,3247,1200,337,32,0.66
9,Bath County ,37,42,37,35,,151,70,0,0,0
10,Bedford County ,781,747,717,804,,3049,1041,346,44,0.98
11,Bland County ,43,60,54,64,,221,108,20,4,1.19
12,Botetourt County ,372,388,392,381,,1533,314,159,12,0.54
102,Bristol city ,170,164,163,139,,636,402,98,12,1.25
13,Brunswick County ,114,121,123,98,,456,324,71,15,2.22
14,Buchanan County ,210,200,203,209,,822,411,129,4,0.33
15,Buckingham County ,160,151,133,129,1,574,288,86,5,0.54
103,Buena Vista city ,65,76,64,72,,277,123,17,8,1.92
16,Campbell County ,604,564,615,572,,2355,1027,322,25,0.69
17,Caroline County ,326,322,271,267,,1186,533,168,16,0.89
18,Carroll County ,269,289,250,257,,1065,640,177,7,0.43
19,Charles city County ,47,59,36,47,,189,88,0,4,1.54
20,Charlotte County ,142,147,154,121,,564,252,80,3,0.37
104,Charlottesville city ,319,324,293,258,6,1200,569,173,34,1.9
136,Chesapeake city ,3346,3365,3256,3276,,13243,4978,2349,201,1.02
21,Chesterfield County ,5114,5102,4832,4796,,19844,5952,2567,415,1.4
22,Clarke County ,186,154,169,155,,664,165,71,1,0.1
106,Colonial Heights city ,210,226,190,207,,833,444,140,10,0.78
107,Covington city ,81,72,61,70,,284,111,46,1,0.22
23,Craig County ,44,38,47,40,,169,76,36,3,1.11
24,Culpeper County ,724,666,640,558,1,2589,1206,250,79,2.02
25,Cumberland County ,97,104,83,98,,382,202,40,8,1.39
108,Danville city ,422,407,360,361,,1550,776,251,67,2.84
26,Dickenson County ,165,153,149,124,,591,304,109,3,0.34
27,Dinwiddie County ,364,318,325,302,,1309,785,200,18,0.92
28,Essex County ,99,110,107,97,,413,256,50,4,0.65
29,Fairfax County ,14678,14993,14800,14713,,59184,18367,8574,1135,1.29
109,Falls Church city ,205,218,226,210,,859,83,100,5,0.38
